lemma	core_rank	frequency	pmw
血	2123	6044	73.9627375
船	567	5995	73.3631057
性格	2464	5994	73.3508684
明るい	1245	5981	73.1917824
音楽	1088	5977	73.1428329
ケース	754	5966	73.0082217
努力	1629	5945	72.7512366
本人	784	5934	72.6166254
位置	1952	5920	72.4453021
無理	1326	5917	72.4085899
度	1048	5892	72.1026554
白	357	5868	71.8089582
雪	1659	5852	71.6131601
左	880	5829	71.3317003
秋	1326	5808	71.0747153
指	2123	5802	71.0012910
結ぶ	944	5793	70.8911546
すると	1545	5792	70.8789172
息	2061	5788	70.8299676
計画	825	5771	70.6219321
タイプ	1423	5760	70.4873209
あらゆる	1500	5753	70.4016593
材料	863	5729	70.1079621
静か	1281	5715	69.9366388
愛	1072	5706	69.8265023
女の子	1423	5699	69.7408406
能力	825	5688	69.6062294
知識	721	5667	69.3492444
分ける	1423	5661	69.2758201
泣く	1500	5659	69.2513454
全部	1894	5646	69.0922594
全国	360	5610	68.6517136
地	1361	5600	68.5293398
馬	1545	5560	68.0398445
残念	1326	5534	67.7216726
周囲	1148	5503	67.3423137
作業	1048	5502	67.3300764
冬	1804	5496	67.2566521
急	1589	5495	67.2444147
薬	1423	5463	66.8528185
いらっしゃる	2464	5460	66.8161063
支える	709	5456	66.7671568
事情	1088	5454	66.7426820
無料	1245	5448	66.6692577
量	1245	5438	66.5468839
文化	1361	5436	66.5224091
分	976	5431	66.4612222
料理	505	5352	65.4944690
人気	574	5346	65.4210448
適切	686	5334	65.2741962
ええ	3202	5333	65.2619588
追う	1177	5332	65.2497214
新聞	1148	5320	65.1028728
参考	1024	5300	64.8581252
代わり	1629	5294	64.7847009
関心	1072	5294	64.7847009
あ	1465	5255	64.3074430
差	976	5250	64.2462561
期間	1845	5234	64.0504580
運動	1395	5217	63.8424225
自ら	1148	5195	63.5732001
表現	1589	5170	63.2672655
うん	1245	5149	63.0102805
旅	1465	5138	62.8756693
費用	1245	5113	62.5697347
やや	1500	5099	62.3984114
印象	976	5098	62.3861740
育てる	1088	5098	62.3861740
魚	1148	5097	62.3739366
特別	1659	5097	62.3739366
どんどん	1128	5088	62.2638002
森	1760	5086	62.2393254
ファックス	4507	5082	62.1903759
村	1545	5027	61.5173199
焼く	1760	5026	61.5050825
先程	4222	5021	61.4438956
流石	1326	5013	61.3459965
側	2201	4992	61.0890115
客	1148	4978	60.9176881
判断	1088	4957	60.6607031
少年	1199	4935	60.3914807
こっち	2011	4899	59.9509350
数字	1108	4890	59.8407985
文章	1301	4868	59.5715761
明確	944	4864	59.5226266
銀行	1281	4859	59.4614397
回答	740	4850	59.3513032
空気	1423	4846	59.3023537
サービス	548	4845	59.2901163
増加	911	4845	59.2901163
注意	1845	4843	59.2656416
仲間	1952	4843	59.2656416
着く	1177	4824	59.0331313
きちんと	1199	4790	58.6170603
市	2201	4767	58.3356005
感情	1500	4765	58.3111257
すっかり	1952	4747	58.0908529
努める	640	4745	58.0663781
流す	976	4730	57.8828174
主人	2290	4718	57.7359688
現状	811	4688	57.3688473
三日	944	4681	57.2831857
話題	959	4681	57.2831857
楽しみ	1148	4664	57.0751502
問い合わせ	1545	4650	56.9038268
一定	1326	4648	56.8793520
不安	1361	4645	56.8426399
下げる	1245	4638	56.7569782
医師	992	4581	56.0594474
種	4831	4569	55.9125989
さあ	3370	4557	55.7657503
テーマ	686	4553	55.7168007
会場	2123	4545	55.6189017
す	2898	4533	55.4720531
動物	2011	4523	55.3496793
エネルギー	1760	4520	55.3129671
分野	746	4517	55.2762550
単に	1702	4505	55.1294064
役	1659	4465	54.6399111
相談	1048	4448	54.4318756
ですから	2771	4436	54.2850270
ベッド	2634	4433	54.2483149
確実	1545	4428	54.1871280
庭	2542	4426	54.1626532
戦い	1465	4423	54.1259411
有効	1219	4416	54.0402794
あっ	1702	4412	53.9913299
テーブル	2123	4407	53.9301430
報告	1465	4398	53.8200065
元気	1760	4388	53.6976327
道路	1500	4387	53.6853953
意外	1326	4362	53.3794608
準備	1361	4358	53.3305112
豊か	929	4357	53.3182738
重ねる	1245	4347	53.1959000
席	1952	4328	52.9633898
両親	1395	4323	52.9022029
学生	797	4322	52.8899655
選手	1088	4317	52.8287786
大好き	1326	4316	52.8165412
一言	1659	4296	52.5717935
葉	2201	4293	52.5350814
包む	2011	4280	52.3759954
地方	1177	4279	52.3637580
野菜	1177	4250	52.0088740
緑	2011	4244	51.9354497
感覚	1845	4219	51.6295151
どうぞ	1629	4217	51.6050404
海外	733	4198	51.3725301
広げる	1301	4198	51.3725301
国家	3370	4194	51.3235806
市民	1177	4151	50.7973731
生徒	1500	4149	50.7728984
向く	2061	4138	50.6382872
協力	640	4134	50.5893376
石	2376	4132	50.5648629
終わり	2201	4132	50.5648629
手続き	1465	4130	50.5403881
ヨーロッパ	1804	4128	50.5159133
現場	686	4126	50.4914386
鼻	2464	4122	50.4424891
理解	959	4120	50.4180143
駅	1500	4105	50.2344536
言わば	2201	4092	50.0753676
次々	1361	4090	50.0508928
市場	797	4088	50.0264181
島	580	4067	49.7694330
服	1219	4067	49.7694330
レベル	1395	4053	49.5981097
笑顔	1088	4052	49.5858723
十日	1048	4048	49.5369228
方々	2464	4017	49.1575639
都市	2464	4015	49.1330892
試合	669	4000	48.9495284
通ずる	863	3996	48.9005789
人口	2290	3938	48.1908107
バランス	1500	3936	48.1663360
兄	1659	3929	48.0806743
細かい	2123	3908	47.8236893
犯人	2376	3905	47.7869771
指導	1545	3897	47.6890781
ボール	880	3893	47.6401285
勉強	1659	3889	47.5911790
会話	2201	3887	47.5667043
心配	1952	3865	47.2974819
返事	3202	3857	47.1995828
北	2123	3847	47.0772090
精神	2542	3846	47.0649716
じゃあ	3202	3829	46.8569361
住民	880	3801	46.5142894
幸せ	1702	3790	46.3796782
政治	1500	3775	46.1961175
歯	3054	3755	45.9513698
構造	1804	3750	45.8901829
罪	1589	3741	45.7800465
特定	2464	3735	45.7066222
だって	2542	3730	45.6454353
太陽	2376	3729	45.6331979
時々	3370	3729	45.6331979
記録	1629	3722	45.5475362
見事	1702	3712	45.4251624
ママ	3552	3711	45.4129250
最高	1423	3703	45.3150259
調子	3370	3697	45.2416017
場面	1219	3697	45.2416017
定員	4507	3694	45.2048895
容易	1500	3690	45.1559400
塩	1128	3685	45.0947531
老人	4831	3682	45.0580409
肉	2011	3680	45.0335662
製品	1108	3678	45.0090914
一時	3743	3655	44.7276316
必ずしも	2061	3649	44.6542073
複雑	1760	3649	44.6542073
希望	1659	3645	44.6052578
備える	1088	3634	44.4706466
法	6810	3632	44.4461718
地球	2376	3624	44.3482728
世の中	1804	3621	44.3115606
二十日	1024	3609	44.1647120
期待	1072	3578	43.7853532
本来	1702	3576	43.7608784
過程	2898	3574	43.7364037
弟	3743	3558	43.5406055
夫婦	1128	3555	43.5038934
グループ	2376	3553	43.4794186
ボタン	10002	3546	43.3937570
どっち	2376	3544	43.3692822
現代	2464	3537	43.2836205
小学校	959	3537	43.2836205
バス	1500	3537	43.2836205
南	3054	3535	43.2591458
底	2542	3517	43.0388729
会	1301	3515	43.0143981
